"t_id","t_date","t_text"
"1121407497741447168","4/25/2019 13:35","b'RT @RepAndyBiggsAZ: I\xe2\x80\x99m grateful for my colleagues who accompanied me to the border to view the crisis w/ their own eyes. It\xe2\x80\x99s one thing to\xe2\x80\xa6'"
"1121407411875647488","4/25/2019 13:35","b'RT @RepMattGaetz: Volume 1 of the Mueller Report is based on evidence, while Volume 2 seems to rely heavily on the reporting of news outlet\xe2\x80\xa6'"
"1121406614093860864","4/25/2019 13:32","b'RT @RepMarkMeadows: We knew they wouldn\xe2\x80\x99t give up.\n\nThe collusion delusion fell flat, and now reports say House Democrats are preparing to\xe2\x80\xa6'"
"1121406415707484160","4/25/2019 13:31","b'RT @dcexaminer: ""The collusion delusion fell flat."" \n\n@RepMarkMeadows suggests Democrats are too blinded by hatred of @realDonaldTrump to l\xe2\x80\xa6'"
"1121406299013513217","4/25/2019 13:31","b'RT @RepMarkMeadows: Reminder: Democrats demanding an unredacted Mueller report (exposing even classified info) spent a year attacking mysel\xe2\x80\xa6'"
"1121406061519544322","4/25/2019 13:30","b'RT @Jim_Jordan: It\xe2\x80\x99s time to figure out what the Comey Cabal did at the start of the fake \xe2\x80\x9cRussia collusion\xe2\x80\x9d investigation.\n\nComey, Andy Mc\xe2\x80\xa6'"
"1121405753364025344","4/25/2019 13:29","b""RT @GOPoversight: Democrats are obsessed with @realDonaldTrump. It's time to move on and solve problems for the American people. https://t.\xe2\x80\xa6"""
"1121405495405948929","4/25/2019 13:27","b'RT @Jim_Jordan: Peter Strzok told us that he would \xe2\x80\x9clove to answer each and every one of [our] questions"" once the Mueller investigation co\xe2\x80\xa6'"
"1121388967444799488","4/25/2019 12:22","b'Welcome to the race Sleepy Joe. I only hope you have the intelligence, long in doubt, to wage a successful primary\xe2\x80\xa6 https://t.co/p7PH3ZQEe7'"
"1121385795481423873","4/25/2019 12:09","b'.....Despite the fact that the Mueller Report was \xe2\x80\x9ccomposed\xe2\x80\x9d by Trump Haters and Angry Democrats, who had unlimited\xe2\x80\xa6 https://t.co/3nxQctDapT'"
"1121382698742841344","4/25/2019 11:57","b'....Mueller was NOT fired and was respectfully allowed to finish his work on what I, and many others, say was an il\xe2\x80\xa6 https://t.co/rlABvWEUUA'"
"1121380133137461248","4/25/2019 11:47","b'As has been incorrectly reported by the Fake News Media, I never told then White House Counsel Don McGahn to fire R\xe2\x80\xa6 https://t.co/feT5e4MqmN'"
"1121187494312255489","4/24/2019 23:01","b'The Great State of Tennessee is so close to passing School Choice. All of our Nation\xe2\x80\x99s children, regardless of back\xe2\x80\xa6 https://t.co/waTxCBpsMD'"
"1121138875638792192","4/24/2019 19:48","b'.@SenMikeLee of the great state of Utah has written a wonderful new book entitled, \xe2\x80\x9cOur Lost Declaration.\xe2\x80\x9d Highly recommended!'"
"1121121705970286592","4/24/2019 18:40","b'As ONE UNITED NATION, we will work, we will pray, and we will fight for the day when every family across our land c\xe2\x80\xa6 https://t.co/IcjJfEnaE1'"
"1121120816983363584","4/24/2019 18:36","b'Today, @FLOTUS Melania and I were honored to join thousands of leaders from across the Country for the 2019 Prescri\xe2\x80\xa6 https://t.co/t9bRwNnIy9'"
"1121095181690974208","4/24/2019 16:54","b'Rep. Alexandria Ocasio-Cortez is correct, the VA is not broken, it is doing great. But that is only because of the\xe2\x80\xa6 https://t.co/2XHTS0gNl9'"
"1121053578603397120","4/24/2019 14:09","b'I didn\xe2\x80\x99t call Bob Costa of the Washington Post, he called me (Returned his call)!  Just more Fake News.'"
"1121049166615142400","4/24/2019 13:52","b'....Congress has no time to legislate, they only want to continue the Witch Hunt, which I have already won. They sh\xe2\x80\xa6 https://t.co/SR99p1tb72'"
"1121048120312389634","4/24/2019 13:47","b'No Collusion, No Obstruction - there has NEVER been a President who has been more transparent. Millions of pages of\xe2\x80\xa6 https://t.co/v8HpsttkC5'"
"1121044792945926144","4/24/2019 13:34","b'Can anyone comprehend what a GREAT job Border Patrol and Law Enforcement is doing on our Southern Border. So far th\xe2\x80\xa6 https://t.co/G13GJJCTeV'"
"1121025624632647682","4/24/2019 12:18","b'.....are there no \xe2\x80\x9cHigh Crimes and Misdemeanors,\xe2\x80\x9d there are no Crimes by me at all. All of the Crimes were committe\xe2\x80\xa6 https://t.co/CfcpFiyym7'"
"1121023509029892096","4/24/2019 12:10","b'The Mueller Report, despite being written by Angry Democrats and Trump Haters, and with unlimited money behind it (\xe2\x80\xa6 https://t.co/P0Xq2h0Boq'"
"1121021160827887616","4/24/2019 12:00","b'Mexico\xe2\x80\x99s Soldiers recently pulled guns on our National Guard Soldiers, probably as a diversionary tactic for drug s\xe2\x80\xa6 https://t.co/bpPOy93S7x'"
"1121012339552194560","4/24/2019 11:25","b'A very big Caravan of over 20,000 people started up through Mexico. It has been reduced in size by Mexico but is st\xe2\x80\xa6 https://t.co/xoErbSRTwA'"
"1121010431819173888","4/24/2019 11:18","b'The American people deserve to know who is in this Country. Yesterday, the Supreme Court took up the Census Citizen\xe2\x80\xa6 https://t.co/xrFCfBHsXj'"
"1121006942502182913","4/24/2019 11:04","b'\xe2\x80\x9cFormer CIA analyst Larry Johnson accuses United Kingdom Intelligence of helping Obama Administration Spy on the 20\xe2\x80\xa6 https://t.co/ShzvQun68s'"
"1120851364035399680","4/24/2019 0:46","b'Thanks Rush! @FoxNews https://t.co/x8XogwA8VX'"
"1120820536605585408","4/23/2019 22:43","b'You mean the Stock Market hit an all-time record high today and they\xe2\x80\x99re actually talking impeachment!? Will I ever\xe2\x80\xa6 https://t.co/Z8CfnRuMy7'"
"1120793199650463747","4/23/2019 20:54","b'Great meeting this afternoon at the @WhiteHouse with @Jack from @Twitter. Lots of subjects discussed regarding thei\xe2\x80\xa6 https://t.co/Sw2ZwrclUT'"
"1120751418414108680","4/23/2019 18:08","b'I will be in Green Bay, Wisconsin this Saturday, April 27th at the Resch Center \xe2\x80\x94 7:00pm (CDT). Big crowd expected!\xe2\x80\xa6 https://t.co/4O8qSG4CYp'"
"1120742807847800839","4/23/2019 17:34","b'Great golf champion &amp"
"1120715879640174592","4/23/2019 15:47","b'Great interview by Jared. Nice to have extraordinarily smart people serving our Country! https://t.co/d6Tgrn4Tzn'"
"1120655455594799105","4/23/2019 11:47","b'KEEP AMERICA GREAT!'"
"1120655199130017792","4/23/2019 11:46","b'The Wall is being rapidly built! The Economy is GREAT! Our Country is Respected again!'"
"1120651611410436098","4/23/2019 11:32","b'.....But should be much higher than that if Twitter wasn\xe2\x80\x99t playing their political games. No wonder Congress wants\xe2\x80\xa6 https://t.co/e1I3vgV1Ug'"
"1120650189537202176","4/23/2019 11:26","b'\xe2\x80\x9cThe best thing ever to happen to Twitter is Donald Trump.\xe2\x80\x9d @MariaBartiromo  So true, but they don\xe2\x80\x99t treat me well\xe2\x80\xa6 https://t.co/5jwDvocFqG'"
"1120644639311134720","4/23/2019 11:04","b'\xe2\x80\x9cHarley Davidson has struggled with Tariffs with the EU, currently paying 31%. They\xe2\x80\x99ve had to move production overs\xe2\x80\xa6 https://t.co/r0RAX6jBHU'"
"1120642109676118016","4/23/2019 10:54","b'....Dumb and Sick. A really bad show with low ratings - and will only get worse. CNN has been a proven and long ter\xe2\x80\xa6 https://t.co/owlRr5I3P6'"
"1120639589994106881","4/23/2019 10:44","b'Sorry to say but @foxandfriends is by far the best of the morning political shows on television. It rightfully has\xe2\x80\xa6 https://t.co/SpyApUgKBK'"
"1120635200327831552","4/23/2019 10:27","b'In the \xe2\x80\x9cold days\xe2\x80\x9d if you were President and you had a good economy, you were basically immune from criticism. Remem\xe2\x80\xa6 https://t.co/lRBKqFnFle'"
